iter	Passed	Remaining
0	139	139375
1	143	71819
2	149	49798
3	156	38893
4	161	32186
5	166	27642
6	171	24367
7	176	21938
8	182	20049
9	187	18519
10	192	17338
11	198	16319
12	203	15444
13	208	14678
14	214	14066
15	219	13483
16	224	12984
17	229	12516
18	234	12126
19	239	11747
20	244	11414
21	249	11112
22	255	10849
23	260	10588
24	265	10358
25	270	10150
26	276	9954
27	281	9763
28	286	9593
29	291	9432
30	296	9278
31	302	9150
32	308	9039
33	313	8905
34	318	8790
35	323	8673
36	329	8566
37	334	8461
38	339	8357
39	344	8257
40	349	8174
41	354	8089
42	359	8010
43	365	7935
44	370	7867
45	375	7794
46	381	7727
47	386	7659
48	391	7597
49	396	7542
50	402	7490
51	407	7429
52	412	7373
53	418	7328
54	424	7289
55	429	7237
56	435	7197
57	440	7153
58	445	7106
59	450	7061
60	457	7034
61	462	6990
62	468	6960
63	474	6933
64	480	6906
65	485	6876
66	491	6844
67	497	6812
68	503	6796
69	510	6776
70	516	6756
71	521	6722
72	526	6687
73	532	6659
74	537	6627
75	542	6594
76	547	6561
77	552	6529
78	557	6499
79	562	6469
80	567	6440
81	572	6408
82	577	6384
83	582	6356
84	588	6336
85	593	6309
86	599	6294
87	605	6271
88	610	6250
89	615	6227
90	621	6205
91	626	6183
92	633	6177
93	638	6157
94	644	6140
95	649	6120
96	655	6098
97	660	6076
98	665	6055
99	670	6031
100	675	6012
101	681	5998
102	686	5978
103	691	5959
104	697	5947
105	702	5927
106	708	5909
107	713	5888
108	718	5874
109	723	5855
110	729	5840
111	734	5821
112	739	5805
113	744	5787
114	749	5769
115	754	5753
116	760	5737
117	765	5719
118	770	5701
119	775	5686
120	780	5669
121	785	5654
122	790	5639
123	796	5628
124	802	5615
125	807	5600
126	812	5584
127	818	5577
128	823	5563
129	829	5550
130	834	5535
131	840	5525
132	845	5509
133	850	5495
134	855	5481
135	862	5477
136	867	5464
137	872	5452
138	878	5441
139	883	5427
140	888	5415
141	894	5401
142	899	5387
143	904	5375
144	909	5361
145	914	5348
146	919	5334
147	925	5326
148	930	5317
149	936	5305
150	942	5296
151	947	5286
152	952	5272
153	959	5271
154	966	5270
155	975	5275
156	982	5273
157	990	5279
158	999	5287
159	1008	5296
160	1015	5293
161	1023	5296
162	1033	5304
163	1040	5304
164	1046	5297
165	1052	5286
166	1058	5281
167	1064	5270
168	1069	5258
169	1075	5250
170	1080	5240
171	1086	5231
172	1091	5219
173	1097	5208
174	1102	5196
175	1107	5185
176	1112	5173
177	1117	5161
178	1122	5149
179	1127	5138
180	1132	5126
181	1137	5114
182	1143	5103
183	1148	5092
184	1153	5081
185	1158	5070
186	1163	5058
187	1168	5048
188	1174	5038
189	1179	5026
190	1184	5015
191	1188	5003
192	1194	4994
193	1203	5000
194	1210	4995
195	1215	4985
196	1220	4974
197	1225	4963
198	1230	4953
199	1236	4944
200	1241	4933
201	1246	4923
202	1251	4913
203	1256	4903
204	1261	4893
205	1266	4882
206	1271	4872
207	1277	4866
208	1283	4858
209	1288	4848
210	1294	4838
211	1299	4831
212	1304	4821
213	1309	4810
214	1315	4802
215	1320	4791
216	1325	4781
217	1329	4770
218	1335	4761
219	1340	4752
220	1345	4742
221	1350	4732
222	1355	4723
223	1360	4713
224	1365	4703
225	1370	4694
226	1375	4684
227	1380	4675
228	1385	4665
229	1390	4655
230	1396	4648
231	1401	4640
232	1406	4631
233	1411	4622
234	1417	4612
235	1422	4604
236	1427	4594
237	1432	4586
238	1438	4578
239	1443	4569
240	1448	4560
241	1453	4552
242	1458	4544
243	1465	4539
244	1470	4530
245	1476	4524
246	1481	4517
247	1488	4513
248	1495	4511
249	1502	4508
250	1510	4507
251	1522	4518
252	1535	4534
253	1551	4557
254	1568	4582
255	1580	4593
256	1587	4589
257	1593	4583
258	1599	4577
259	1605	4569
260	1610	4560
261	1616	4553
262	1621	4544
263	1628	4540
264	1635	4536
265	1641	4530
266	1647	4521
267	1652	4513
268	1658	4506
269	1663	4497
270	1668	4489
271	1674	4481
272	1679	4472
273	1685	4465
274	1690	4457
275	1695	4448
276	1700	4439
277	1706	4432
278	1712	4425
279	1717	4417
280	1723	4410
281	1729	4403
282	1734	4394
283	1740	4388
284	1745	4379
285	1751	4371
